ANO,TURNO,MUNICÍPIO,CANDIDATO,PARTIDO,VOTOS,LOCAL DE VOTAÇÃO,BAIRRO,REGIONAL
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,121,UNINTA - FACULDADE UNINTA FORTALEZA,COCÓ,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,117,UNINTA - FACULDADE UNINTA FORTALEZA,COCÓ,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,128,UNINTA - FACULDADE UNINTA FORTALEZA,COCÓ,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,113,UNINTA - FACULDADE UNINTA FORTALEZA,COCÓ,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,108,UNINTA - FACULDADE UNINTA FORTALEZA,COCÓ,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,120,UNINTA - FACULDADE UNINTA FORTALEZA,COCÓ,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,107,UNINTA - FACULDADE UNINTA FORTALEZA,COCÓ,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,119,COLEGIO ANTARES - SANTOS DUMONT,ALDEOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,103,COLEGIO ANTARES - SANTOS DUMONT,ALDEOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,111,COLEGIO ANTARES - SANTOS DUMONT,ALDEOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,112,ESCOLA ESTADUAL  BARBARA DE ALENCAR,VARJOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,125,FACULDADE FARIAS BRITO - CASTRO MONTE,VARJOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,100,FACULDADE FARIAS BRITO - CASTRO MONTE,VARJOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,93,FACULDADE FARIAS BRITO - CASTRO MONTE,VARJOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,113,FACULDADE FARIAS BRITO - CASTRO MONTE,VARJOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,115,FACULDADE FARIAS BRITO - CASTRO MONTE,VARJOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,111,FACULDADE FARIAS BRITO - CASTRO MONTE,VARJOTA,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,102,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,106,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,111,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,115,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,110,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,106,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,97,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,110,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,110,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,123,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,103,ESCOLA ESTADUAL ARQUITETO ROGERIO FROES,CIDADE 2000,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,76,ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,94,ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,98,ESCOLA ESTADUAL MAESTRO ELIAZAR DE CARVALHO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,94,ESCOLA ESTADUAL MAESTRO ELIAZAR DE CARVALHO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,89,ESCOLA ESTADUAL MAESTRO ELIAZAR DE CARVALHO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,109,ESCOLA ESTADUAL MAESTRO ELIAZAR DE CARVALHO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,84,ESCOLA DE GASTRONOMIA SOCIAL IVENS DIAS BRANCO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,108,ESCOLA ESTADUAL MATIAS BECK,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,128,ESCOLA ESTADUAL MATIAS BECK,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,115,ESCOLA ESTADUAL MATIAS BECK,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,132,ESCOLA ESTADUAL MATIAS BECK,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,102,ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,106,ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,106,ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,88,ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,95,ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,97,ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,117,ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,91,ESCOLA ESTADUAL DRAGAO DO MAR,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,96,ESCOLA ESTADUAL DRAGAO DO MAR,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,105,ESCOLA ESTADUAL DRAGAO DO MAR,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,105,IATE CLUBE,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,115,IATE CLUBE,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,109,IATE CLUBE,MUCURIPE,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,108,EMTI VEREADOR ALBERTO GOMES DE QUEIROZ,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,90,EMTI VEREADOR ALBERTO GOMES DE QUEIROZ,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,94,EMTI VEREADOR ALBERTO GOMES DE QUEIROZ,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,84,EMTI VEREADOR ALBERTO GOMES DE QUEIROZ,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,135,LABOMAR - UFC,MEIRELES,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,108,LABOMAR - UFC,MEIRELES,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,119,LABOMAR - UFC,MEIRELES,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,89,ESCOLA PROFISSIONAL MARIA ANGELA DA SILVEIRA BORGES,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,97,ESCOLA PROFISSIONAL MARIA ANGELA DA SILVEIRA BORGES,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,97,ESCOLA PROFISSIONAL MARIA ANGELA DA SILVEIRA BORGES,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,94,ESCOLA PROFISSIONAL MARIA ANGELA DA SILVEIRA BORGES,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,119,ESCOLA ESTADUAL DEPUTADO MANOEL RODRIGUES,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,117,ESCOLA ESTADUAL DEPUTADO MANOEL RODRIGUES,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,113,ESCOLA ESTADUAL DEPUTADO MANOEL RODRIGUES,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,119,ESCOLA ESTADUAL DEPUTADO MANOEL RODRIGUES,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,107,ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER,PRAIA DO FUTURO II,7
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,110,CIES AIDA SANTOS,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,93,CIES AIDA SANTOS,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,120,CIES AIDA SANTOS,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,116,CIES AIDA SANTOS,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,110,CIES AIDA SANTOS,VICENTE PINZON,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,69,ESCOLA MUNICIPAL SAO VICENTE DE PAULO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,65,ESCOLA MUNICIPAL SAO VICENTE DE PAULO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,82,ESCOLA MUNICIPAL SAO VICENTE DE PAULO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,88,ESCOLA MUNICIPAL SAO VICENTE DE PAULO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,88,ESCOLA MUNICIPAL SAO VICENTE DE PAULO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,81,ESCOLA MUNICIPAL PROF. GODOFREDO DE CASTRO FILHO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,82,ESCOLA MUNICIPAL PROF. GODOFREDO DE CASTRO FILHO,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,89,EMTI VEREADOR ALBERTO GOMES DE QUEIROZ,CAIS DO PORTO,2
2024,1,FORTALEZA,ANDRÉ FERNANDES,PL,78,EMTI VEREADOR ALBERTO GOMES DE QUEIROZ,CAIS DO PORTO,2
